"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"211","OTU_2855",0.280628710938437,0,0.280628710938437,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
"212","OTU_286",0.300301736870627,0,0.300301736870627,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens complex"
"213","OTU_2867",0,0.291756140441015,-0.291756140441015,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"214","OTU_2871",0.199714366652048,0,0.199714366652048,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum","Azospirillum zeae"
"215","OTU_2879",0.24118160464236,0,0.24118160464236,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter capsulatus"
"216","OTU_29",0.242967854668919,0,0.242967854668919,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"217","OTU_290",0.233752962427156,0,0.233752962427156,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
"218","OTU_2904",0.309189623419713,0.148137219737219,0.161052403682494,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium","Allochromatium vinosum"
"219","OTU_292",0.457817384089572,0.1783327026762,0.279484681413372,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix","Calothrix sp. NIES-2100"
"220","OTU_2928",0.327188279222948,0.12142085829343,0.205767420929518,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus","Defluviicoccus sp."
