"","otu_id","treatment","2.5%","50%","97.5%","p_val"
"211","OTU_1629","Warming",0.0563144245632567,0.161261040225416,0.297645311513932,0
"212","OTU_16296","Control",-0.0677115821640839,0.0583264288136025,0.176788777830077,0.183
"213","OTU_16296","Warming",0.0849163493762121,0.25732214653514,0.382764750882707,0
"214","OTU_1650","Control",0.0755875694345481,0.174674513372481,0.25920100328429,0
"215","OTU_1656","Control",-0.0835686200513316,0.0414394239009944,0.16017542656674,0.265
"216","OTU_1656","Warming",0.0872378227036496,0.239044086615198,0.39511627026084,0.001
"217","OTU_1665","Warming",0.0515474654300073,0.21771398836772,0.418465406565469,0
"218","OTU_167","Control",-0.183584457419825,-0.0555361271267782,0.0903247655108236,0.779575328614762
"219","OTU_167","Warming",0.0469616466489818,0.164703302753123,0.305807966631035,0
"220","OTU_1672","Warming",0.0105651903750134,0.155892181890581,0.297967562858504,0
"221","OTU_1673","Control",-0.178922649268217,-0.0314245245393103,0.103778492696363,0.678217821782178
"222","OTU_1673","Warming",-5.51633859131303e-05,0.154325952726734,0.279939279430002,0.026
"223","OTU_168","Control",-0.0740356328047704,0.0228101864051211,0.121581504464857,0.352
"224","OTU_168","Warming",-0.0695044139454317,0.11532039330598,0.236811958955219,0.109947643979058
"225","OTU_1680","Control",-0.049577465605606,0.0758684426965316,0.190891138429754,0.109
"226","OTU_1680","Warming",0.172584438369134,0.283134817028339,0.389043357801354,0
"227","OTU_1684","Control",0.0876717661639716,0.176078758611252,0.296372411657129,0
"228","OTU_1684","Warming",0.221642296675767,0.350915237359799,0.500102721734591,0
"229","OTU_1685","Control",-0.000518309797199787,0.102007869460304,0.24405096316947,0.0294117647058824
"230","OTU_1685","Warming",0.0532105578679605,0.169163398536124,0.327084443589188,0
"231","OTU_1699","Warming",0.169794207245964,0.345584121516932,0.548939310833752,0
"232","OTU_17","Control",-0.0472730676493439,0.0574436257286757,0.207584315539385,0.158
"233","OTU_17","Warming",0.213643297979136,0.32913609822037,0.473842767854559,0
"234","OTU_17069","Control",-0.131901175721937,0.0154887075042846,0.156325298159575,0.408817635270541
"235","OTU_17069","Warming",0.165305776670525,0.294503608806117,0.412569619905955,0
"236","OTU_1711","Control",-0.06775333874815,0.0687367337821974,0.193830004876032,0.163163163163163
"237","OTU_1711","Warming",0.443439326818713,0.525599617320949,0.629134315524606,0
"238","OTU_17438","Warming",-0.184106962155128,0.0371360248966189,0.268531477268217,0.382608695652174
"239","OTU_175","Control",-0.122476501019739,-0.0175472745406922,0.102379646202076,0.625
"240","OTU_175","Warming",-0.177215543998281,0.0527876393020228,0.240573069902638,0.301745635910224
"241","OTU_1750","Control",-0.0398330799801149,0.066108668791299,0.202702415700343,0.111
"242","OTU_1750","Warming",0.32774770101166,0.479706083974202,0.660822023530083,0
"243","OTU_1759","Control",-0.118943752986098,-0.0330945626800629,0.0852579528768138,0.706214689265537
"244","OTU_1759","Warming",-0.116964432883576,0.0997919532998761,0.251778695445664,0.242424242424242
"245","OTU_177","Control",-0.0192299769366957,0.0502845803667922,0.118682949982405,0.076
"246","OTU_177","Warming",0.16172198570112,0.262536913700048,0.362950564214633,0
"247","OTU_1774","Control",-0.315047308325668,-0.0912471919561061,0.139762180644545,0.765625
"248","OTU_1776","Control",-0.103314622094884,0.026303222682034,0.172053765320664,0.367441860465116
"249","OTU_1776","Warming",0.121067497033166,0.217548583992092,0.308739856706062,0
"250","OTU_178","Control",-0.0287747707732913,0.126334003119784,0.269883210891539,0.0639999999999999
"251","OTU_178","Warming",-0.0144356168127284,0.153963115456523,0.318830878411246,0.038
"252","OTU_1789","Control",-0.0885407860009122,0.0553578128763001,0.190506620108943,0.246268656716418
"253","OTU_17939","Control",0.149121823618409,0.220898494464768,0.304441173045057,0
"254","OTU_17939","Warming",0.228593483757221,0.338914861921125,0.456945177786229,0
"255","OTU_180","Control",-0.136691030066423,0.0485039548178729,0.226024777574312,0.308823529411765
"256","OTU_180","Warming",0.163767141709447,0.303690779383694,0.469893318955086,0
"257","OTU_1808","Control",0.0151335901232777,0.174354958535229,0.35675810597216,0.0125
"258","OTU_1808","Warming",0.245844719578262,0.416745499906423,0.592649487592033,0
"259","OTU_181","Control",-0.034741790967716,0.196218370011008,0.353137231116455,0.0392156862745098
"260","OTU_181","Warming",0.234480839597442,0.45720331530271,0.617467716741776,0
"261","OTU_1811","Control",-0.0180442984556729,0.118383438962022,0.407102260691472,0.0470914127423823
"262","OTU_1818","Warming",-0.0956200546439968,0.154818584283145,0.303643499332591,0.124031007751938
"263","OTU_182","Control",0.0151867372026066,0.127259048251771,0.237967222755155,0.013
"264","OTU_182","Warming",0.171941815760862,0.295924523618185,0.415052783058088,0
